Person,gFx,gFy,gFz,TgF,Label
1,0.168,-0.004,0.9837,1,6
1,0.1699,-0.0079,0.9852,1,6
1,0.1587,-0.0098,0.9885,1,6
1,0.1572,-0.0084,0.9836,1,6
1,0.1554,-0.003,0.9811,0.99,6
1,0.1524,-0.001,0.9811,0.99,6
1,0.1583,-0.0035,0.9865,1,6
1,0.1671,-0.0045,0.9808,0.99,6
1,0.1695,-0.0036,0.9778,0.99,6
1,0.1651,0.0033,0.9841,1,6
1,0.1577,-0.0005,0.9919,1,6
1,0.1514,-0.0054,0.9879,1,6
1,0.1568,-0.0026,0.9816,0.99,6
1,0.1573,-0.0025,0.9831,1,6
1,0.1637,-0.0045,0.9846,1,6
1,0.1632,-0.005,0.9846,1,6
1,0.1519,-0.0054,0.9889,1,6
1,0.1568,-0.0045,0.9836,1,6
1,0.1588,-0.0005,0.9831,1,6
1,0.1597,-0.0015,0.9836,1,6
1,0.1588,-0.003,0.985,1,6
1,0.1563,-0.002,0.986,1,6
1,0.1558,-0.0005,0.989,1,6
1,0.1558,-0.003,0.9894,1,6
1,0.1543,-0.004,0.9894,1,6
1,0.1592,-0.0064,0.9866,1,6
1,0.1583,-0.001,0.9865,1,6
1,0.1563,-0.002,0.9885,1,6
1,0.1563,-0.0074,0.9841,1,6
1,0.15,-0.0035,0.9786,0.99,6
1,0.1549,-0.0015,0.9816,0.99,6
1,0.1656,0.0019,0.9866,1,6
1,0.1714,-0.0001,0.9881,1,6
1,0.168,-0.0011,0.9836,1,6
1,0.149,-0.0045,0.9855,1,6
1,0.1485,-0.003,0.985,1,6
1,0.1475,0.0004,0.983,0.99,6
1,0.1563,0.0004,0.9845,1,6
1,0.1617,-0.0005,0.985,1,6
1,0.1636,-0.0059,0.9861,1,6
1,0.1597,-0.0059,0.9885,1,6
1,0.1548,-0.0045,0.9875,1,6
1,0.1539,-0.0035,0.9825,0.99,6
1,0.1475,-0.0054,0.985,1,6
1,0.1495,-0.0029,0.9884,1,6
1,0.1568,-0.0035,0.9904,1,6
1,0.1646,0.0004,0.9866,1,6
1,0.1519,-0.0015,0.9928,1,6
1,0.1519,-0.0034,0.9918,1,6
1,0.1465,-0.0024,0.9879,1,6
1,0.1524,-0.001,0.984,1,6
1,0.1578,-0.0035,0.9841,1,6
1,0.1563,-0.0045,0.9855,1,6
1,0.1563,-0.003,0.9841,1,6
1,0.1529,-0.0015,0.9889,1,6
1,0.1505,0.0005,0.9908,1,6
1,0.1544,-0.004,0.987,1,6
1,0.1573,-0.003,0.9846,1,6
1,0.1563,-0.004,0.9855,1,6
1,0.1558,-0.002,0.9865,1,6
1,0.1553,-0.004,0.9885,1,6
1,0.1528,-0.0025,0.9874,1,6
1,0.1558,-0.0054,0.987,1,6
1,0.1572,-0.003,0.986,1,6
1,0.1573,-0.001,0.9846,1,6
1,0.1538,-0.002,0.9889,1,6
1,0.1549,-0.0059,0.9846,1,6
1,0.1505,-0.0011,0.9781,0.99,6
1,0.1529,0.0004,0.9821,0.99,6
1,0.1593,-0.001,0.985,1,6
1,0.1646,-0.0029,0.9954,1.01,6
1,0.1622,-0.006,0.9817,1,6
1,0.1446,-0.003,0.9844,1,6
1,0.1416,-0.0029,0.9913,1,6
